event.n.01	7188	something that happens at a given place and time
act.n.02	6067	something that people do or cause to happen
action.n.01	2165	something done (usually as opposed to something said)
activity.n.01	1932	any specific behavior
change.n.03	1912	the action of changing something
happening.n.01	1029	an event that happens
process.n.06	1016	a sustained phenomenon or one marked by gradual changes through a series of states
group_action.n.01	629	action taken by a group of people
change_of_state.n.01	586	the act of changing something into something different in essential characteristics
process.n.02	444	(psychology) the performance of some composite cognitive activity; an operation that affects mental contents
organic_process.n.01	378	a process occurring in living organisms
speech_act.n.01	359	the use of language to perform some act
motion.n.06	358	the act of changing location from one place to another
change_of_integrity.n.01	306	the act of changing the unity or wholeness of something
work.n.01	305	activity directed toward making or doing something
feeling.n.01	300	the experiencing of affective and emotional states
natural_process.n.01	296	a process existing in or produced by nature (rather than by the intent of human beings)
higher_cognitive_process.n.01	228	cognitive processes that presuppose the availability of knowledge and put it to use
motion.n.03	216	a change of position that does not entail a change of location
phenomenon.n.01	205	any state or process known through the senses rather than by intuition or reasoning
diversion.n.01	205	an activity that diverts or amuses or stimulates
transaction.n.01	181	the act of transacting within or between groups (as carrying on commercial activities)
natural_phenomenon.n.01	106	all phenomena that are not artificial
movement.n.03	103	a natural event that involves a change in the position or location of something
change_of_magnitude.n.01	101	the act of changing the amount or size of something
commerce.n.01	100	transactions (sales and purchases) having the objective of supplying commodities (goods and services)
basic_cognitive_process.n.01	98	cognitive processes involved in obtaining and storing knowledge
change.n.01	92	an event that occurs when something passes from one state or phase to another
social_control.n.01	91	control exerted (actively or passively) by group action
propulsion.n.02	90	the act of propelling
physical_phenomenon.n.01	84	a natural phenomenon involving the physical properties of matter and energy
thinking.n.01	80	the process of using your mind to consider something carefully
termination.n.05	77	the act of ending something
improvement.n.02	75	the act of improving something
change_of_location.n.01	64	a movement through space that changes the location of something
creation.n.01	64	the human act of creating
